****//BCM//****
|Time|Acc|Temp|Humidity|mpuTemp|Pressure|Altitude|eCO2|TVOC
|0.10|69|26.51|27.86|420|771.00|2244.51|400.00|0.00
|0.20|69|26.55|27.57|420|771.00|2244.51|400.00|0.00
|0.32|69|26.57|27.41|420|771.00|2244.51|420.00|2.00
|0.42|69|26.57|27.29|420|771.00|2244.41|400.00|4.00
|0.52|69|26.58|27.20|420|771.00|2244.61|400.00|0.00
|0.62|69|26.57|27.16|420|771.00|2244.61|403.00|1.00
|0.72|69|26.57|27.16|420|771.00|2244.82|401.00|1.00
|0.82|69|26.57|27.14|420|771.00|2244.72|404.00|1.00
|0.92|69|26.57|27.13|420|771.00|2244.82|400.00|2.00
|1.03|69|26.58|27.13|420|771.00|2244.82|421.00|5.00
|1.13|69|26.57|27.12|420|771.00|2244.82|406.00|8.00
|1.23|69|26.58|27.09|420|771.00|2244.82|400.00|0.00
|1.33|69|26.59|27.08|420|771.00|2244.93|414.00|8.00
|1.43|69|26.60|27.07|420|771.00|2244.93|407.00|7.00
|1.53|69|26.61|27.06|420|771.00|2245.03|416.00|8.00
|1.63|69|26.63|27.04|420|771.00|2244.82|409.00|8.00
|1.75|69|26.65|27.00|420|771.00|2244.82|415.00|3.00
|1.85|69|26.67|27.00|420|771.00|2244.72|415.00|13.00
|1.95|69|26.66|27.09|420|771.00|2244.82|414.00|11.00
|2.05|69|26.67|27.07|420|771.00|2244.82|400.00|3.00
|2.15|69|26.66|27.00|420|771.00|2244.93|412.00|8.00
|2.25|69|26.66|27.00|420|771.00|2244.93|400.00|4.00
|2.35|69|26.66|27.01|420|771.00|2244.72|400.00|0.00
